train_number,class_type,amount
07105,1A,1200.0
40005,SL,400.0
40005,3A,640.0
40005,2A,800.0
40005,1A,1200.0
55138,SL,400.0
55138,3A,640.0
55138,2A,800.0
55138,1A,1200.0
56393,SL,400.0
56393,3A,640.0
56393,2A,800.0
56393,1A,1200.0
24041,SL,400.0
24041,3A,640.0
24041,2A,800.0
24041,1A,1200.0
07144,SL,400.0
07144,3A,640.0
07144,2A,800.0
07144,1A,1200.0
07301,SL,400.0
07301,3A,640.0
07301,2A,800.0
07301,1A,1200.0
07403,SL,400.0
07403,3A,640.0
07403,2A,800.0
07403,1A,1200.0
07404,SL,400.0
07404,3A,640.0
07404,2A,800.0
07404,1A,1200.0
07603,SL,400.0
07603,3A,640.0
07603,2A,800.0
07603,1A,1200.0
07605,SL,400.0
07605,3A,640.0
07605,2A,800.0
07605,1A,1200.0
07606,SL,400.0
07606,3A,640.0
07606,2A,800.0
07606,1A,1200.0
07607,SL,400.0
07607,3A,640.0
07607,2A,800.0
07607,1A,1200.0
07608,SL,400.0
07608,3A,640.0
07608,2A,800.0
07608,1A,1200.0
08001,SL,400.0
08001,3A,640.0
08001,2A,800.0
08001,1A,1200.0
08002,SL,400.0
08002,3A,640.0
08002,2A,800.0
08002,1A,1200.0
08004,SL,400.0
08004,3A,640.0
08004,2A,800.0
08004,1A,1200.0
08017,SL,400.0
08017,3A,640.0
08017,2A,800.0
08017,1A,1200.0
08018,SL,400.0
08018,3A,640.0
08018,2A,800.0
08018,1A,1200.0
08043,SL,400.0
08043,3A,640.0
08043,2A,800.0
08043,1A,1200.0
08051,SL,400.0
08051,3A,640.0
08051,2A,800.0
08051,1A,1200.0
08052,SL,400.0
08052,3A,640.0
08052,2A,800.0
08052,1A,1200.0
08055,SL,400.0
08055,3A,640.0
08055,2A,800.0
08055,1A,1200.0
08113,SL,400.0
08113,3A,640.0
08113,2A,800.0
08113,1A,1200.0
08114,SL,400.0
08114,3A,640.0
08114,2A,800.0
08114,1A,1200.0
08469,SL,400.0
08469,3A,640.0
08469,2A,800.0
08469,1A,1200.0
08470,SL,400.0
08470,3A,640.0
08470,2A,800.0
08470,1A,1200.0
08471,SL,400.0
08471,3A,640.0
08471,2A,800.0
08471,1A,1200.0
08472,SL,400.0
08472,3A,640.0
08472,2A,800.0
08472,1A,1200.0
08565,SL,400.0
08565,3A,640.0
08565,2A,800.0
08565,1A,1200.0
08566,SL,400.0
08566,3A,640.0
08566,2A,800.0
08566,1A,1200.0
08567,SL,400.0
08567,3A,640.0
08567,2A,800.0
08567,1A,1200.0
08568,SL,400.0
08568,3A,640.0
08568,2A,800.0
08568,1A,1200.0
08569,SL,400.0
08569,3A,640.0
08569,2A,800.0
08569,1A,1200.0
08786,SL,400.0
08786,3A,640.0
08786,2A,800.0
08786,1A,1200.0
08787,SL,400.0
08787,3A,640.0
08787,2A,800.0
08787,1A,1200.0
08788,SL,400.0
08788,3A,640.0
08788,2A,800.0
08788,1A,1200.0
09002,SL,400.0
09002,3A,640.0
09002,2A,800.0
09002,1A,1200.0
09021,SL,400.0
09021,3A,640.0
09021,2A,800.0
09021,1A,1200.0
09051,SL,400.0
09051,3A,640.0
09051,2A,800.0
09051,1A,1200.0
09221,SL,400.0
09221,3A,640.0
09221,2A,800.0
09221,1A,1200.0
09561,SL,400.0
09561,3A,640.0
09561,2A,800.0
09561,1A,1200.0
09733,SL,400.0
09733,3A,640.0
09733,2A,800.0
09733,1A,1200.0
09734,SL,400.0
09734,3A,640.0
09734,2A,800.0
09734,1A,1200.0
11015,SL,400.0
11015,3A,640.0
11015,2A,800.0
11015,1A,1200.0
12084,SL,400.0
12084,3A,640.0
12084,2A,800.0
12084,1A,1200.0
13401,SL,400.0
13401,3A,640.0
13401,2A,800.0
13401,1A,1200.0
13410,SL,400.0
13410,3A,640.0
13410,2A,800.0
13410,1A,1200.0
40007,SL,400.0
40007,3A,640.0
40007,2A,800.0
40007,1A,1200.0
56320,SL,400.0
56320,3A,640.0
56320,2A,800.0
56320,1A,1200.0
08785,SL,400.0
08785,3A,640.0
08785,2A,800.0
08785,1A,1200.0
01494,SL,400.0
01494,3A,640.0
01494,2A,800.0
01494,1A,1200.0
09222,SL,400.0
09222,3A,640.0
09222,2A,800.0
09222,1A,1200.0
09405,SL,400.0
09405,3A,640.0
09405,2A,800.0
09405,1A,1200.0
09406,SL,400.0
09406,3A,640.0
09406,2A,800.0
09406,1A,1200.0
09562,SL,400.0
09562,3A,640.0
09562,2A,800.0
09562,1A,1200.0
09621,SL,400.0
09621,3A,640.0
09621,2A,800.0
09621,1A,1200.0
09622,SL,400.0
09622,3A,640.0
09622,2A,800.0
09622,1A,1200.0
09715,SL,400.0
09715,3A,640.0
09715,2A,800.0
09715,1A,1200.0
09716,SL,400.0
09716,3A,640.0
09716,2A,800.0
09716,1A,1200.0
09721,SL,400.0
09721,3A,640.0
09721,2A,800.0
09721,1A,1200.0
09724,SL,400.0
09724,3A,640.0
09724,2A,800.0
09724,1A,1200.0
09727,SL,400.0
09727,3A,640.0
09727,2A,800.0
09727,1A,1200.0
09728,SL,400.0
09728,3A,640.0
09728,2A,800.0
09728,1A,1200.0
09735,SL,400.0
09735,3A,640.0
09735,2A,800.0
09735,1A,1200.0
09736,SL,400.0
09736,3A,640.0
09736,2A,800.0
09736,1A,1200.0
09741,SL,400.0
09741,3A,640.0
09741,2A,800.0
09741,1A,1200.0
09742,SL,400.0
09742,3A,640.0
09742,2A,800.0
09742,1A,1200.0
09761,SL,400.0
09761,3A,640.0
09761,2A,800.0
09761,1A,1200.0
09762,SL,400.0
09762,3A,640.0
09762,2A,800.0
09762,1A,1200.0
09763,SL,400.0
09763,3A,640.0
09763,2A,800.0
09763,1A,1200.0
09764,SL,400.0
09764,3A,640.0
09764,2A,800.0
09764,1A,1200.0
09765,SL,400.0
09765,3A,640.0
09765,2A,800.0
09765,1A,1200.0
09766,SL,400.0
09766,3A,640.0
09766,2A,800.0
09766,1A,1200.0
10001,SL,400.0
10001,3A,640.0
10001,2A,800.0
10001,1A,1200.0
10002,SL,400.0
10002,3A,640.0
10002,2A,800.0
10002,1A,1200.0
10103,SL,400.0
10103,3A,640.0
10103,2A,800.0
10103,1A,1200.0
10104,SL,400.0
10104,3A,640.0
10104,2A,800.0
10104,1A,1200.0
10111,SL,400.0
10111,3A,640.0
10111,2A,800.0
10111,1A,1200.0
10112,SL,400.0
10112,3A,640.0
10112,2A,800.0
10112,1A,1200.0
10215,SL,400.0
10215,3A,640.0
10215,2A,800.0
10215,1A,1200.0
10216,SL,400.0
10216,3A,640.0
10216,2A,800.0
10216,1A,1200.0
11003,SL,400.0
11003,3A,640.0
11003,2A,800.0
11003,1A,1200.0
11004,SL,400.0
11004,3A,640.0
11004,2A,800.0
11004,1A,1200.0
11007,SL,400.0
11007,3A,640.0
11007,2A,800.0
11007,1A,1200.0
11009,SL,400.0
11009,3A,640.0
11009,2A,800.0
11009,1A,1200.0
11010,SL,400.0
11010,3A,640.0
11010,2A,800.0
11010,1A,1200.0
11011,SL,400.0
11011,3A,640.0
11011,2A,800.0
11011,1A,1200.0
11012,SL,400.0
11012,3A,640.0
11012,2A,800.0
11012,1A,1200.0
11014,SL,400.0
11014,3A,640.0
11014,2A,800.0
11014,1A,1200.0
11016,SL,400.0
11016,3A,640.0
11016,2A,800.0
11016,1A,1200.0
11018,SL,400.0
11018,3A,640.0
11018,2A,800.0
11018,1A,1200.0
15212,SL,400.0
15212,3A,640.0
15212,2A,800.0
15212,1A,1200.0
40013,SL,400.0
40013,3A,640.0
40013,2A,800.0
40013,1A,1200.0
56304,SL,400.0
56304,3A,640.0
56304,2A,800.0
56304,1A,1200.0
56386,SL,400.0
56386,3A,640.0
56386,2A,800.0
56386,1A,1200.0
56390,SL,400.0
56390,3A,640.0
56390,2A,800.0
56390,1A,1200.0
02082,SL,400.0
02082,3A,640.0
02082,2A,800.0
02082,1A,1200.0
02083,SL,400.0
02083,3A,640.0
02083,2A,800.0
02083,1A,1200.0
02084,SL,400.0
02084,3A,640.0
02084,2A,800.0
02084,1A,1200.0
02085,SL,400.0
02085,3A,640.0
02085,2A,800.0
02085,1A,1200.0
02086,SL,400.0
02086,3A,640.0
02086,2A,800.0
02086,1A,1200.0
02087,SL,400.0
02087,3A,640.0
02087,2A,800.0
02087,1A,1200.0
02088,SL,400.0
02088,3A,640.0
02088,2A,800.0
02088,1A,1200.0
02089,SL,400.0
02089,3A,640.0
02089,2A,800.0
02089,1A,1200.0
02090,SL,400.0
02090,3A,640.0
02090,2A,800.0
02090,1A,1200.0
02093,SL,400.0
02093,3A,640.0
02093,2A,800.0
02093,1A,1200.0
02411,SL,400.0
02411,3A,640.0
02411,2A,800.0
02411,1A,1200.0
02412,SL,400.0
02412,3A,640.0
02412,2A,800.0
02412,1A,1200.0
02413,SL,400.0
02413,3A,640.0
02413,2A,800.0
02413,1A,1200.0
02423,SL,400.0
02423,3A,640.0
02423,2A,800.0
02423,1A,1200.0
02424,SL,400.0
02424,3A,640.0
02424,2A,800.0
02424,1A,1200.0
02435,SL,400.0
02435,3A,640.0
02435,2A,800.0
02435,1A,1200.0
02436,SL,400.0
02436,3A,640.0
02436,2A,800.0
02436,1A,1200.0
02451,SL,400.0
02451,3A,640.0
02451,2A,800.0
02451,1A,1200.0
02452,SL,400.0
02452,3A,640.0
02452,2A,800.0
02452,1A,1200.0
02453,SL,400.0
02453,3A,640.0
02453,2A,800.0
02453,1A,1200.0
02454,SL,400.0
02454,3A,640.0
02454,2A,800.0
02454,1A,1200.0
02779,SL,400.0
02779,3A,640.0
02779,2A,800.0
02779,1A,1200.0
03283,SL,400.0
03283,3A,640.0
03283,2A,800.0
03283,1A,1200.0
03284,SL,400.0
03284,3A,640.0
03284,2A,800.0
03284,1A,1200.0
03686,SL,400.0
03686,3A,640.0
03686,2A,800.0
03686,1A,1200.0
04011,SL,400.0
04011,3A,640.0
04011,2A,800.0
04011,1A,1200.0
04031,SL,400.0
04031,3A,640.0
04031,2A,800.0
04031,1A,1200.0
04032,SL,400.0
04032,3A,640.0
04032,2A,800.0
04032,1A,1200.0
04053,SL,400.0
04053,3A,640.0
04053,2A,800.0
04053,1A,1200.0
04054,SL,400.0
04054,3A,640.0
04054,2A,800.0
04054,1A,1200.0
04115,SL,400.0
04115,3A,640.0
04115,2A,800.0
04115,1A,1200.0
02081,SL,400.0
02081,3A,640.0
02081,2A,800.0
02081,1A,1200.0
04116,SL,400.0
04116,3A,640.0
04116,2A,800.0
04116,1A,1200.0
04201,SL,400.0
04201,3A,640.0
04201,2A,800.0
04201,1A,1200.0
04202,SL,400.0
04202,3A,640.0
04202,2A,800.0
04202,1A,1200.0
04203,SL,400.0
04203,3A,640.0
04203,2A,800.0
04203,1A,1200.0
11067-Slip,SL,400.0
11067-Slip,3A,640.0
11067-Slip,2A,800.0
11067-Slip,1A,1200.0
11108,SL,400.0
11108,3A,640.0
11108,2A,800.0
11108,1A,1200.0
11109,SL,400.0
11109,3A,640.0
11109,2A,800.0
11109,1A,1200.0
11110,SL,400.0
11110,3A,640.0
11110,2A,800.0
11110,1A,1200.0
11123,SL,400.0
11123,3A,640.0
11123,2A,800.0
11123,1A,1200.0
11124,SL,400.0
11124,3A,640.0
11124,2A,800.0
11124,1A,1200.0
11125,SL,400.0
11125,3A,640.0
11125,2A,800.0
11125,1A,1200.0
11126,SL,400.0
11126,3A,640.0
11126,2A,800.0
11126,1A,1200.0
11454,SL,400.0
11454,3A,640.0
11454,2A,800.0
11454,1A,1200.0
52071,SL,400.0
52071,3A,640.0
52071,2A,800.0
52071,1A,1200.0
11063-Slip,SL,400.0
11063-Slip,3A,640.0
11063-Slip,2A,800.0
11063-Slip,1A,1200.0
11065,SL,400.0
11065,3A,640.0
11065,2A,800.0
11065,1A,1200.0
11066,SL,400.0
11066,3A,640.0
11066,2A,800.0
11066,1A,1200.0
11067,SL,400.0
11067,3A,640.0
11067,2A,800.0
11067,1A,1200.0
11068,SL,400.0
11068,3A,640.0
11068,2A,800.0
11068,1A,1200.0
11069,SL,400.0
11069,3A,640.0
11069,2A,800.0
11069,1A,1200.0
11070,SL,400.0
11070,3A,640.0
11070,2A,800.0
11070,1A,1200.0
11071,SL,400.0
11071,3A,640.0
11071,2A,800.0
11071,1A,1200.0
11072,SL,400.0
11072,3A,640.0
11072,2A,800.0
11072,1A,1200.0
11077,SL,400.0
11077,3A,640.0
11077,2A,800.0
11077,1A,1200.0
11078,SL,400.0
11078,3A,640.0
11078,2A,800.0
11078,1A,1200.0
11087,SL,400.0
11087,3A,640.0
11087,2A,800.0
11087,1A,1200.0
11088,SL,400.0
11088,3A,640.0
11088,2A,800.0
11088,1A,1200.0
11089,SL,400.0
11089,3A,640.0
11089,2A,800.0
11089,1A,1200.0
11090,SL,400.0
11090,3A,640.0
11090,2A,800.0
11090,1A,1200.0
11091,SL,400.0
11091,3A,640.0
11091,2A,800.0
11091,1A,1200.0
11092,SL,400.0
11092,3A,640.0
11092,2A,800.0
11092,1A,1200.0
11093,SL,400.0
11093,3A,640.0
11093,2A,800.0
11093,1A,1200.0
11094,SL,400.0
11094,3A,640.0
11094,2A,800.0
11094,1A,1200.0
11095,SL,400.0
11095,3A,640.0
11095,2A,800.0
11095,1A,1200.0
11096,SL,400.0
11096,3A,640.0
11096,2A,800.0
11096,1A,1200.0
11105,SL,400.0
11105,3A,640.0
11105,2A,800.0
11105,1A,1200.0
11106,SL,400.0
11106,3A,640.0
11106,2A,800.0
11106,1A,1200.0
11266,SL,400.0
11266,3A,640.0
11266,2A,800.0
11266,1A,1200.0
11401,SL,400.0
11401,3A,640.0
11401,2A,800.0
11401,1A,1200.0
11402,SL,400.0
11402,3A,640.0
11402,2A,800.0
11402,1A,1200.0
11403,SL,400.0
11403,3A,640.0
11403,2A,800.0
11403,1A,1200.0
11404,SL,400.0
11404,3A,640.0
11404,2A,800.0
11404,1A,1200.0
11423,SL,400.0
11423,3A,640.0
11423,2A,800.0
11423,1A,1200.0
11424,SL,400.0
11424,3A,640.0
11424,2A,800.0
11424,1A,1200.0
11447,SL,400.0
11447,3A,640.0
11447,2A,800.0
11447,1A,1200.0
11448,SL,400.0
11448,3A,640.0
11448,2A,800.0
11448,1A,1200.0
11449,SL,400.0
11449,3A,640.0
11449,2A,800.0
11449,1A,1200.0
11450,SL,400.0
11450,3A,640.0
11450,2A,800.0
11450,1A,1200.0
11451,SL,400.0
11451,3A,640.0
11451,2A,800.0
11451,1A,1200.0
11452,SL,400.0
11452,3A,640.0
11452,2A,800.0
11452,1A,1200.0
11453,SL,400.0
11453,3A,640.0
11453,2A,800.0
11453,1A,1200.0
11463,SL,400.0
11463,3A,640.0
11463,2A,800.0
11463,1A,1200.0
11464,SL,400.0
11464,3A,640.0
11464,2A,800.0
11464,1A,1200.0
11471,SL,400.0
11471,3A,640.0
11471,2A,800.0
11471,1A,1200.0
11472,SL,400.0
11472,3A,640.0
11472,2A,800.0
11472,1A,1200.0
12003,SL,400.0
12003,3A,640.0
12003,2A,800.0
12003,1A,1200.0
12020,SL,400.0
12020,3A,640.0
12020,2A,800.0
12020,1A,1200.0
12021,SL,400.0
12021,3A,640.0
12021,2A,800.0
12021,1A,1200.0
12022,SL,400.0
12022,3A,640.0
12022,2A,800.0
12022,1A,1200.0
12189,SL,400.0
12189,3A,640.0
12189,2A,800.0
12189,1A,1200.0
53030,SL,400.0
53030,3A,640.0
53030,2A,800.0
53030,1A,1200.0
56385,SL,400.0
56385,3A,640.0
56385,2A,800.0
56385,1A,1200.0
11465,SL,400.0
11465,3A,640.0
11465,2A,800.0
11465,1A,1200.0
11466,SL,400.0
11466,3A,640.0
11466,2A,800.0
11466,1A,1200.0
11702,SL,400.0
11702,3A,640.0
11702,2A,800.0
11702,1A,1200.0
12002,SL,400.0
12002,3A,640.0
12002,2A,800.0
12002,1A,1200.0
12004,SL,400.0
12004,3A,640.0
12004,2A,800.0
12004,1A,1200.0
12005,SL,400.0
12005,3A,640.0
12005,2A,800.0
12005,1A,1200.0
12006,SL,400.0
12006,3A,640.0
12006,2A,800.0
12006,1A,1200.0
12008,SL,400.0
12008,3A,640.0
12008,2A,800.0
12008,1A,1200.0
12009,SL,400.0
12009,3A,640.0
12009,2A,800.0
12009,1A,1200.0
12010,SL,400.0
12010,3A,640.0
12010,2A,800.0
12010,1A,1200.0
12011,SL,400.0
12011,3A,640.0
12011,2A,800.0
12011,1A,1200.0
12012,SL,400.0
12012,3A,640.0
12012,2A,800.0
12012,1A,1200.0
12013,SL,400.0
12013,3A,640.0
12013,2A,800.0
12013,1A,1200.0
12014,SL,400.0
12014,3A,640.0
12014,2A,800.0
12014,1A,1200.0
12015,SL,400.0
12015,3A,640.0
12015,2A,800.0
12015,1A,1200.0
12016,SL,400.0
12016,3A,640.0
12016,2A,800.0
12016,1A,1200.0
12017,SL,400.0
12017,3A,640.0
12017,2A,800.0
12017,1A,1200.0
12018,SL,400.0
12018,3A,640.0
12018,2A,800.0
12018,1A,1200.0
12023,SL,400.0
12023,3A,640.0
12023,2A,800.0
12023,1A,1200.0
12024,SL,400.0
12024,3A,640.0
12024,2A,800.0
12024,1A,1200.0
12025,SL,400.0
12025,3A,640.0
12025,2A,800.0
12025,1A,1200.0
12026,SL,400.0
12026,3A,640.0
12026,2A,800.0
12026,1A,1200.0
12028,SL,400.0
12028,3A,640.0
12028,2A,800.0
12028,1A,1200.0
12029,SL,400.0
12029,3A,640.0
12029,2A,800.0
12029,1A,1200.0
12031,SL,400.0
12031,3A,640.0
12031,2A,800.0
12031,1A,1200.0
12032,SL,400.0
12032,3A,640.0
12032,2A,800.0
12032,1A,1200.0
12033,SL,400.0
12033,3A,640.0
12033,2A,800.0
12033,1A,1200.0
12034,SL,400.0
12034,3A,640.0
12034,2A,800.0
12034,1A,1200.0
12037,SL,400.0
12037,3A,640.0
12037,2A,800.0
12037,1A,1200.0
12038,SL,400.0
12038,3A,640.0
12038,2A,800.0
12038,1A,1200.0
12051,SL,400.0
12051,3A,640.0
12051,2A,800.0
12051,1A,1200.0
12052,SL,400.0
12052,3A,640.0
12052,2A,800.0
12052,1A,1200.0
12053,SL,400.0
12053,3A,640.0
12053,2A,800.0
12053,1A,1200.0
12054,SL,400.0
12054,3A,640.0
12054,2A,800.0
12054,1A,1200.0
12055,SL,400.0
12055,3A,640.0
12055,2A,800.0
12055,1A,1200.0
12059,SL,400.0
12059,3A,640.0
12059,2A,800.0
12059,1A,1200.0
12060,SL,400.0
12060,3A,640.0
12060,2A,800.0
12060,1A,1200.0
12063,SL,400.0
12063,3A,640.0
12063,2A,800.0
12063,1A,1200.0
12064,SL,400.0
12064,3A,640.0
12064,2A,800.0
12064,1A,1200.0
12067,SL,400.0
12067,3A,640.0
12067,2A,800.0
12067,1A,1200.0
12083,SL,400.0
12083,3A,640.0
12083,2A,800.0
12083,1A,1200.0
12107,SL,400.0
12107,3A,640.0
12107,2A,800.0
12107,1A,1200.0
12108,SL,400.0
12108,3A,640.0
12108,2A,800.0
12108,1A,1200.0
12110,SL,400.0
12110,3A,640.0
12110,2A,800.0
12110,1A,1200.0
12118,SL,400.0
12118,3A,640.0
12118,2A,800.0
12118,1A,1200.0
56389,SL,400.0
56389,3A,640.0
56389,2A,800.0
56389,1A,1200.0
12056,SL,400.0
12056,3A,640.0
12056,2A,800.0
12056,1A,1200.0
12057,SL,400.0
12057,3A,640.0
12057,2A,800.0
12057,1A,1200.0
12058,SL,400.0
12058,3A,640.0
12058,2A,800.0
12058,1A,1200.0
12061,SL,400.0
12061,3A,640.0
12061,2A,800.0
12061,1A,1200.0
12062,SL,400.0
12062,3A,640.0
12062,2A,800.0
12062,1A,1200.0
12068,SL,400.0
12068,3A,640.0
12068,2A,800.0
12068,1A,1200.0
12069,SL,400.0
12069,3A,640.0
12069,2A,800.0
12069,1A,1200.0
12070,SL,400.0
12070,3A,640.0
12070,2A,800.0
12070,1A,1200.0
12072,SL,400.0
12072,3A,640.0
12072,2A,800.0
12072,1A,1200.0
12074,SL,400.0
12074,3A,640.0
12074,2A,800.0
12074,1A,1200.0
12075,SL,400.0
12075,3A,640.0
12075,2A,800.0
12075,1A,1200.0
12076,SL,400.0
12076,3A,640.0
12076,2A,800.0
